"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","channel","channel_type","peak","mean_intensity","sd_intensity","auc","prop_active","n_episodes","dur_total_s","dur_longest_s","t_peak_s","t_peak_prop","t_peak_usable","censored_start","censored_end","n_valid_frames","n_missing_frames"
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Happy","emotion",0.7814324,0.581096127647059,0.21843061042073,2.427167621875,0.794117647058823,1,3.375,3.375,2.25,0.529411764705882,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Sad","emotion",0.2094669,0.0287960676470588,0.0530324903572882,0.108563188125,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Angry","emotion",0.06617408,0.0271454432647059,0.0154569876765194,0.111782324125,0,0,0,0,0.375,0.0882352941176471,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Surprised","emotion",0.02341588,0.00698114455882353,0.00597670617431408,0.0278590550625,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Scared","emotion",0.006421099,0.00220321576470588,0.00182907410034836,0.0088936168125,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Disgusted","emotion",0.1467238,0.0272234097941176,0.0358446848455524,0.105176956,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Contempt","emotion",0.04051528,0.0109789940588235,0.0102682672606741,0.045575627125,0,0,0,0,0.375,0.0882352941176471,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU01","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU02","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU04","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
