"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",35,4.25,0.2828504,0.43549,0.003820209,0.01639863,0.002043673,0.001997216,0.04593309,0.001794958,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",36,4.375,0.2769679,0.4471668,0.003480171,0.0152567,0.002025141,0.002243746,0.0409559,0.001982377,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",37,4.5,0.2659137,0.4691952,0.003249516,0.0134885,0.0023971,0.001900706,0.03730576,0.002135293,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",38,4.625,0.2741782,0.4529341,0.003969626,0.01547745,0.002053402,0.002565463,0.03573754,0.002903705,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",39,4.75,0.2707247,0.4599574,0.003198488,0.02105271,0.001874094,0.002760562,0.04281138,0.002391007,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",40,4.875,0.2803988,0.4415937,0.002656869,0.0300878,0.001577407,0.002603916,0.0371833,0.001717358,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",41,5,0.2865726,0.4304429,0.002705959,0.04427326,0.00142893,0.003024663,0.03931522,0.001454243,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",42,5.125,0.2977956,0.4103467,0.002779704,0.05684997,0.001464352,0.003706201,0.04169866,0.002660105,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",43,5.25,0.3043979,0.3964852,0.002572335,0.05663632,0.001283132,0.003217802,0.0408502,0.003935938,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",44,5.375,0.2942877,0.4174777,0.002580786,0.06036453,0.001359794,0.003277805,0.04262354,0.004706183,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",45,5.5,0.2878187,0.4311398,0.002384965,0.06274784,0.001361019,0.003073881,0.0413611,0.004270089,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",46,5.625,0.2693647,0.4678801,0.002039368,0.06220007,0.00143863,0.003796389,0.03575458,0.005076807,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",47,5.75,0.2458109,0.5133487,0.001753562,0.06860978,0.001295694,0.002905684,0.02564883,0.004916952,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",1,0,0.7280338,0.02934338,0.05836546,0.04169851,0.007629072,0.002896888,0.07423837,0.000897526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",2,0.125,0.635627,0.1216903,0.04518561,0.05279899,0.008118613,0.002325775,0.06047852,0.000927692,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
